Domain,Project Name,Professor,UID,Description,Number of students,Year of study,CPI,Prerequisites,Duration,Learning outcome,Weekly time commitment,Assignment,Instructions for assignment,Additional key points
Metallurgy and Material Sciences (MEMS),Interpretation of Capacitive Deionization Performance by Analysis of Various Parameters Using Machine Learning,Professor: Prof. Shobha Shukla,UID: MM02,"Capacitive deionization (CDI) is a highly efficient water treatment technology that removes ions using electrodes and electrical double layer capacitance, offering benefits like lower energy consumption, reduced chemical usage, and minimal environmental impact compared to traditional desalination methods. Optimizing CDI involves analyzing various electrode and cell parameters, where machine learning plays a crucial role. Machine learning algorithms can predict CDI performance based on factors such as electrode material, surface area, flow rate, and operating voltage, enabling data-driven decisions for system design and optimization. By analyzing large datasets of parameters and CDI outcomes, machine learning can identify complex patterns beyond human capabilities. This project aims to find the best machine learning techniques to analyze these parameters and predict CDI performance, providing insights to advance and optimize CDI technology for water treatment.",1,"Students entering their 3rd year, Students entering their 4th/5th year",7.5 and above,"1.	Prior knowledge of Python
2.	At least basic experience in the implementation of machine learning algorithms i.e, done some small projects",2 months,"Outcomes:
1.	Learning to collect and sort data 
2.	Learning about the available machine learning models suitable for a specific application
3.	Implementation of various models and selection of the most optimized one
4.	Deriving results based on the known theoretical model
5.	Validation and comparison of the model-driven result with the theoretical and experimental results
6.	Discovering the most optimized machine learning model
*Any other outcomes can be planned based on the result obtained and novelty of the work.

Tools to be Used:
Python for coding, Zotero for Reference Management, VOS Viewer(optional), and any other tool as required

Expectation from the Student
1.	Update on a regular basis during the project tenure
2.	Regular interaction with the mentor 
3.	No side engagement such as an internship is expected
4.	Student should use their own laptop/system",36 hrs per weak; Meeting twice a week,"Students can direct google search the following DOI to access the research article:
1.	10.1016/j.desal.2022.115826
2.	10.1039/D0TA09531A
3.	10.1016/j.desal.2022.115992
4.	10.1016/j.desal.2021.115197
5.	10.1016/j.scitotenv.2022.159158

Note: Please use the IITB Net for accessing the articles",The student needs to summarize the research papers in 5-6 pages and student should also share in brief the previous machine learning based projects worked upon.,"Objectives
The objective of the project is to:
1.        Collect and sort the available data on various capacitive deionization based electrode and cell parameters from research articles.
2.        Preprocess and clean the collected data to ensure its quality and remove any outliers or inconsistencies.
3.        Perform exploratory data analysis to gain insights into the relationship between different parameters and CDI performance.
4.        Study of various machine learning models used for predicting purification and filtration device performance
5.        Apply various machine learning techniques such as regression, classification, and clustering to build models that can predict CDI performance based on electrode and cell parameters.
6.        Correlate the machine learning model with theoretical model and actual experimentation data 

Deliverables
Following milestone based deliverables are expected from the student:
1.        Collected raw and cleaned data on capacitive deionization parameters and their performance with references
2.        Detailed comparison of various machine learning models
3.        Result analysis of the various machine learning models
4.        Deriving result using the data collected as input in the theoretical model
5.        Comparative validation and analysis of machine learning model with theoretical model and actual experimental data
6.        Detailed project report"
Metallurgy and Material Sciences (MEMS),Nanometer-scale strain mapping using transmission electron microscopy (TEM)-based technique(s),Professor: Abhinandan Gangopadhyay,UID: MM03,"The project will explore the application of TEM-based technique(s) to generate reliable strain  map around nanoscale structural features such as dislocation, quantum dot, etc. For example, Geometric Phase Analysis (GPA) technique utilizes a dot-like high-resolution (scanning) transmission electron microscopy images to map the strain field in the area of interest. The optimization of desired spatial resolution and precision of the GPA-generated strain map needs a deeper understanding of the method as well as the experimental variables related to image formation process, which will be attempted in this project.",1,"Students entering their 3rd year, Students entering their 4th/5th year",7 or more,Experience with image processing is helpful but not mandatory,4-5 months,Image processing; Some background in Fourier analysis will be helpful,20 hours,https://www.sciencedirect.com/science/article/pii/S0304399198000357?pes=vor,Summarize the paper,undefined
Metallurgy and Material Sciences (MEMS),"Kinetics of gas-solid reactions - application to potential routes for ""green"" ironmaking",Professor: Somnath Basu,UID: MM04,"Iron and steel production contributes close to 10% global CO2 emissions. Conventional ironmaking technologies involve reduction of iron ore agglomerates with carbon and CO-rich reductants, leading to a CO2-footprint. Hydrogen is a potent alternate and its use as a reductant is expected the reduce the overall CO emission from ironmaking. However, technologies for using near-100% H2 as a reducing agent are theoretically possible but exist only at lab/pilot scale.
Successful transition from C/CO to H2 as the reductant of choice is dependent on clearly understanding the mechanism(s) of reaction with H2, vis-à-vis CO, and the rate controlling step(s). An earlier work in MEMS Department has shown that reduction of iron oxides involves multiple steps, often having contradicting requirements for enhancing the reaction kinetics. With this background, it is proposed to investigate in detail the mechanism of each step of reduction through controlled experiments and characterization, with an aim to understand the differences caused if CO is replaced with H2 as the reductant.",02,Students entering their 4th/5th year,Minimum 6.5 (7.0 and above preferred),Should have cleared a course on thermodynamics and on transport phenomena. Clearing a course on chemical kinetics is desired.,8 weeks,Ability to understand kinetics of multi-stage reactions; design of high temperature experiments and interpretation of data therefore; ability to develop simple models to explain the overall reaction rates in terms of controllable variables,"20-25 hours per week (including familiarisation with the work, setting up preliminary experiments, and analysis of results)","Search on ""iron oxide reduction"" through an engine like SCOPUS or ScieneDirect",Details can be finalised after interaction with interested students,undefined
Metallurgy and Material Sciences (MEMS),Simulation of microstructure evolution during metal additive manufacturing,Professor: Durga A,UID: MM05,"Metal additive manufacturing has been adopted by several strategic sectors like biomedical, aerospace, defence. However, alloys developed for traditional processes most often cannot be directly used in these applications. Therefore, there is a need to develop new materials to cater to different applications using metal additive manufacturing. One of the key pieces to the puzzle is to be able to predict how the microstructure (phases, composition, grain structure, etc.) evolves during the process so that one can tailor the process to obtain the desired microstructure and thereby properties. In this project, simulation tools will be used to predict the microstructure evolution. Depending on the students' capabilities and interest, new model development to do the same could also be explored.",2,"Students entering their 3rd year, Students entering their 4th/5th year",None,"Fundamental knowledge of thermodynamics and phase transformations, good math and coding (Python) skills.",6 weeks,"Ability to solve a well-defined problem using existing simulation tools

Ability to implement a new model and analyse the results focussing on the assumptions and limitations of the same (in case the student is involved in model development)",40 hours per week commitment from students and meet 1-2 times per week,https://www.sciencedirect.com/science/article/pii/S0079642520300670,Choose any one subsection from the paper and summarise it in 1 page and send it along with your application.,undefined
Multidisciplinary,Portal for JEE/NEET aspirants career paths,Professor: Ankit Jain,UID: MD01,"Develop a portal, where a student could go and explore what all colleges would be good for him/her based on his/her rank. Students will explore ways on fetching data from various sources for this. Please note that this project will be entirely student driven as PI has no knowledge of this domain.",1,"Students entering their 2nd year, Students entering their 3rd year",7.5 and above,"creativity, dedication, hard-work, self-motivation",>6 months,"database development, data curation, etc",6-12 hrs/week,,,undefined
Multidisciplinary,QuITO V.3: numerical optimal control under path constraints,Professor: Debasish Chatterjee,UID: MD02,"This project concerns the development of release 3 of the QuITO suite of tools dedicated to the development of numerical methods for solving optimal control problems under paths constraints. The latest version V.2 was released on github recently; an overview of the suite of tools may be found here: https://www.sc.iitb.ac.in/~chatterjee/master/homepage/quito.html.

Students are encouraged to take a look at the accompanying document  https://arxiv.org/abs/2404.13681 for an overview of the theoretical underpinnings of the toolset as it stands currently. Version 3 will target subtle refinements of V.2 on the theoretical side by widening the class of problems, including tools from geometric integration, and including distributed parameter systems within its ambit.

QuITO is backed by solid theory set down across several publications; a previous release of QuITO has been patented, and more patent applications are in the process of being filed. Applications on QuITO include all applications involving trajectory generation and planning under constraints, such as path planning in challenging and hazardous environments, satellite re-entry problems, guidance and navigation.

Students are expected to take a deep dive into numerical methods of optimal control with a balanced emphasis on theory and implementation. QuITO encompasses a new and unusual set of tools derived from several areas of engineering and mathematics, and there is tremendous scope for introducing yet newer and nuanced methods in the problems. One can take up the topic as a summer project and continue for 1 - 2 years.",4,"Students entering their 3rd year, Students entering their 4th/5th year",8 and above,Curiosity and seriousness.,"3 months, extendable to 2 yr.","Publications in the top journals and conferences in control and dynamical systems, and/or  patents.",20 hr per week during the summer; weekly meetings (online if needed),https://www.sc.iitb.ac.in/~chatterjee/master/homepage/quito.html and the articles indicated there.,Only serious students may apply.,undefined
Multidisciplinary,Anomaly detection via signatures,Professor: Debasish Chatterjee,UID: MD03,"Anomalies occur in distributed networked systems when components break down naturally or change properties over time, or when adversaries inject malicious inputs to damage the system. We will focus on adversarial attacks.

The most clever attacks are the hardest to detect: In networked systems such attacks may breach the cyber layer and introduce software in the physical layer that lurk in the system, clone itself and communicate between the clones, learn about the network over a long time, and act only sporadically to damage the system. The Stuxnet attack in the first half of the preceding decade is a case in point. It is crucial to detect such adversarial attacks quickly enough before the system is irrecoverably compromised.

This project is about the development of a technique based on an analytical property of dynamical systems called the signature, to the detection of difficult-to-detect anomalies in networked systems. Our thrust will be to develop new and reliable methods of anomaly detection while being numerically viable. Similar techniques for early detection of the onset of neurodegenerative diseases in humans can be developed simultaneously.

Students will be expected to study and master the mathematical technique, design algorithms and develop the corresponding software.",3,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",8 and above,Curiosity and seriousness.,3 months; extendable to 1-3 years.,"Exposure to the very interesting and deep theoretical apparatus of signatures and bringing it to the forefront of anomaly detection; as a consequence, publications in top journals and conferences of ML and cybernetics.",20 hr per week during the summer and weekly meetings (online if necessary).,Restricted access; contact me over email for details.,Reading material will be provided after the project starts.,undefined
Multidisciplinary,"Failure analysis of Semiconductor devices, batteries using High Energy Beam",Professor: Rakesh Mote,UID: MD04,"To build and sustain a semiconductor ecosystem in India, device fabrication and associated metrology, reliability studies are vital. In this project, high energy beam (ion) metrology and reliability assessment protocols for next generation devices characterized by non-planar architectures, thinner layers/connectors, multiple layers with different materials. Critical aspects like sectioning, delayering, ion induced damage, redeposition, volume throughput to be investigated.",1,"Students entering their 3rd year, Students entering their 4th/5th year",Above 7.5,"Some background on semiconductor materials, devices",6m to 1 yr,"Semiconductor devices, failure analysis, Micro-nano fabrication, advanced characterization.",1-2 hrs per week and meeting on each alternate week,https://ieeexplore.ieee.org/document/5582645,,undefined
Multidisciplinary,Titania Nanotubes growth on advance Ti alloys for biomedical/drug-delivery applications,Professor: Rakesh Mote,UID: MD05,6 m to 1 yr,1,"Students entering their 3rd year, Students entering their 4th/5th year",7.5 and above,"Chemistry, particularly electrochemistry and basic electrolytic cell experiments",6 m - 1 yr,"Corrosion studies, Advanced electrochemical characterization, Biomedical application (implants, drug delivery)",1-2 hrs per week and meeting on each alternate week,https://link.springer.com/article/10.1186/s11671-018-2597-z,,undefined
Physics,Solid-state entanglement generation and manipulation,Professor: Bhaskaran M,UID: PH01,This project will involve a detailed and exhaustive exploration on superconducting hybrid systems for solid-state entanglement generation and control. This is a theory and computation project involving an in-depth exploration into the subject via quantum transport based simulations.,2,Students entering their 2nd year,9.2 and above,"Quantum theory, condensed matter exposure (basic)",As long as mutually decided,1) quantum transport based device simulation possibly culminating in a research publication 2) collaborations with experimental groups,Varies,,,undefined
Physics,Characterizing Cadmium Zinc Telluride detectors for space telescopes,Professor: Varun Bhalerao,UID: PH02,"Cadmium Zinc Telluride detectors are highly sensitive for detecting hard X-ray photons in the energy range from 20-200 keV. A specific type of these detectors has been used in multiple Indian space missions including AstroSat, Aditya-L1, etc. They will also be used for the proposed IITB-led Daksha space mission ( www.dakshasat.in ). 
To optimally use these detectors, we need to study them in detail in the lab and measure their performance under varying temperatures. We need to map the conversion of photon energy to an electronic readout, measure electronic noise, and study noisy pixels at various timescales.
The CZT detector, composed of N-type semiconductor material, serves the crucial role of detecting high-energy photons within the energy spectrum of 20 to 200 KeV. However, its performance is subject to the influence of electronic noise, crystal impurities, and thermal noise inherent to the system. 
The Daksha mission will require us to test about 1500 such detectors in the lab. The goal of this project is to lay the foundation of this monumental effort using the state-of-the-art Thermal Chamber and Clean room facilities available at STAR Lab.",1,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",Greater than 6.0,"- Department - Any
 - Python (numpy, scipy, matplotlib)
 - Basic physics background (knowledge of detector physics useful)
 - Data analysis (fitting curves, extracting parameters, summarising results)
 - Must have completed at least one hands-on project related to electronics
This is a two-semester project. Working on this project in December is to be decided by mutual agreement, and availability of other opportunities to the student. The project is likely to lead to a refereed publication.",2 semesters,"- Physics: Detector Physics and its applications in the context of high-energy photons
- Electronic properties of detectors
- Learn how to work in a clean room and program the thermal chamber.
- Coding: Data analysis, handling fits files, developing code within a skilled framework, interface development. 
- Hands-on experience with developing and deploying a user interface","8 hours/week, 3 meetings per week","YouTube lecture on X-ray detectors: https://youtu.be/HToZYvvIS74 
Daksha space telescope - www.dakshasat.in","Interested students should view the youtube lecture, on X-ray detectors. Based on that lecture and any other material they wish to refer to, they should write a 1-page summary of how SOLID STATE X-RAY DETECTORS work.","This is a two-semester project. Working on this project in December is to be decided by mutual agreement, and availability of other opportunities to the student. The project is likely to lead to a refereed publication."
Physics,Hardware Development for Space Telescopes,Professor: Varun Bhalerao,UID: PH03,"IIT Bombay leads the highly ambitious “Daksha” project to build the world’s most sensitive high-energy space telescopes for detecting astrophysical transients. In the pursuit of detecting high-energy events in astrophysical objects, we are actively working on enhancing the data readout process. Presently, our setup involves CZT (Cadmium Zinc Telluride) detectors integrated into an FPGA board capable of accommodating up to 20 detectors, forming what is known as the ""ME"" (Medium Energy Range 20-200 KeV) box. This system is controlled via LABVIEW.

The primary goal of this project is to gain a comprehensive understanding of the existing FPGA readout schemes for the ME board and, subsequently, to optimize and improve these schemes.",1,"Students entering their 3rd year, Students entering their 4th/5th year",7 and above,"- The candidate is expected to be comfortable in FPGA programming, this project is NOT the place to start learning it.
- Experience in Python (numpy, scipy, matplotlib), and C/C++
- Must have completed at least one hands-on project related to electronics",2 semesters,"Expected outcomes from the project are:  
- A deeper understanding of FPGA-based data readout systems and their applications in astrophysical research
- LABVIEW Skills: Enhanced proficiency in using LABVIEW for instrument control and data analysis
- Physics: A broad understanding of detector physics, particularly in the context of high-energy photon detection
- Students will get to work with expert engineers from TIFR, RRI, PRL, etc","8 hours/week, 3 weekly meetings","YouTube lectures on FPGA programming and LABVIEW.
FPGA-based Implementation of Signal Processing Systems by Roger Wood et al",Write a 1-2 page summary of any FPGA-based project that you have completed.,"This is a two-semester project. Working on this project in December is to be decided by mutual agreement, and availability of other opportunities to the student."
Physics,Analyzing space telescope data to study the brightest explosions - GRBs,Professor: Varun Bhalerao,UID: PH04,"Gamma-ray bursts are explosions in the universe that come from the death of massive stars or the merger of neutron-star black-hole systems. GRBs give out a luminous initial burst called prompt emission and late broad-band emission called afterglow. Afterglows are modeled as a power law function in time and energy, where the index gives us information about the Lorentz factor of electrons in the jet, the density of the interstellar medium, etc. Different space telescopes like AstroSat, Swift, Chandra, Fermi etc observe in different energy ranges: and combining their data gives a complete picture of the broad emission.

Scope of work:
How to analyze Chandra, SXT, Swift XRT,  Fermi GBM, Fermi LAT, Swift BAT, and UVIT data",1,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",6 and above,"Please state explicitly in your SOP which of the requirements you satisfy, and how you propose to catch up to the rest.
- Department - any
- Basic astronomy background (Kritiika lectures / KSP / KCAP / popular science level)
- Python coding (numpy, scipy, matplotlib. Astropy preferred.)
- Comfortable with Linux and command line
- Data analysis (fitting curves, extracting parameters, summarising results)",2 semesters,"- Developing an understanding of GRB theory
- Learning spectral and temporal analysis of GRB data
- High energy sources data analysis
- Setting up standard routines for doing multiple instrument analysis","8 hours/week, 3 weekly meetings","What are GRBs -  https://en.wikipedia.org/wiki/Gamma-ray_burst
   X-ray afterglow of short GRB 111020A -  https://astrobites.org/2012/04/30/are-short-gamma-ray-bursts-jets/","Candidates should write a page about Gamma Ray Bursts and the radiation processes involved in the AFTERGLOW emission. In the interview, they should be able to explain what are the types of GRBs, and how high-energy radiation is produced. They should be able to explain the importance of X-ray followup for determining jet features.","This is a two-semester project, with reading work this July. Working on this project in December is to be decided by mutual agreement, and availability of other opportunities to the student. The student will be exposed to multiple analyses and will have opportunities to become a co-author on refereed publications."
Physics,Fast and furious: studying relativistic jets in GRB afterglows,Professor: Varun Bhalerao,UID: PH05,"Gamma-ray bursts are explosions in the universe that come from the death of massive stars or the merger of neutron-star black-hole systems. GRBs give out a luminous initial burst called prompt emission and late broad-band emission called afterglow. The prompt emission is generated by shock-accelerated electrons in highly collimated relativistic jets. These jets interact with the surrounding medium to give out afterglow. In this project, we will use afterglowpy - the current, easy-to-understand, broadband afterglow fitting python package, to estimate jet parameters like total kinetic energy, angular span of the jet, etc and understand the physics behind these emission mechanisms.

Scope of work:
Afterglowpy modeling
X-ray + optical data",1,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",6 and above,"- Department - any
- Basic astronomy background (Kritiika lectures / KSP / KCAP / popular science level)
- Python coding (numpy, scipy, matplotlib. Astropy preferred.)
- Comfortable with Linux and command line
- Data analysis (fitting curves, extracting parameters, summarising results)",2 semesters,"- Physics of GRB jets and afterglows, including the interaction of jets with the interstellar medium
- Theoretical and analytical interpretation of multi-band lightcurve data
- Markov chain Monte Carlo (MCMC) implementation for sampling parameter space

Other expectations:
This is a two-semester project, with reading work this Summer. Working on this project in winter is to be decided by mutual agreement, and availability of other opportunities to the student. The student will be exposed to analyses of many sources and will have opportunities to join refereed publications.","8 hours/week, 3 weekly meetings","What are GRBs -  https://en.wikipedia.org/wiki/Gamma-ray_burst 
  X-ray afterglow of short GRB 111020A - https://astrobites.org/2012/04/30/are-short-gamma-ray-bursts-jets/","Candidates should write a page about Gamma Ray Bursts and the radiation processes involved in the AFTERGLOW emission. In the interview, they should be able to explain what are the types of GRBs, and how high-energy radiation is produced. They should be able to explain the importance of optical and X-ray followup for determining jet features.",undefined
Physics,Hunting Near Earth Objects with a Robotic Telescope,Professor: Varun Bhalerao,UID: PH06,"The project is focused on the real-time discovery and follow-up of Near Earth Objects (NEOs), such as asteroids and comets, using the GROWTH-India Telescope (GIT). Students will collaborate closely with international partners to analyze data from the Zwicky Transient Facility (ZTF) for the identification of new asteroids, which will be reported to the Minor Planet Centre (MPC). By working with GIT, students will gain hands-on experience in real-time target observation to enhance orbital information and confirm the status of these objects as NEOs, ultimately leading to their publication as Minor Planet Electronic Circulars (MPECs). Students can also conduct follow-up observations of known comets to discover their outbursts, contributing to the publication of Astronomer's Telegrams (ATels). Another aim of this project is to improve the GIT in-house Astreaks pipeline, which is employed for processing non-sidereal data. Students will focus on improving the astrometric calculations within the pipeline, with the goals of reducing processing time and developing a more precise method for photometry of asteroids and comets observed by GIT.

Scope of the project:
GIT operations and pipeline development
Asteroid search
EM-GW follow-up",1,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",6 and above,"- Basic astronomy background (Kritiika lectures / KSP / KCAP / popular science level)
- Python coding (Numpy, Scipy, Matplotlib. OpenCV and Astropy preferred.)
- Comfortable with Linux and command line",2 semesters,"- Students will get first-hand experience and a better understanding of real-time observations from telescopes.
- Students will have the opportunity to observe and discover asteroids, leading to publications.
- Students will have the opportunity to lead and/or be a part of publications (GCNs, ATels,  Astronote, MPECs, refereed publications) on which they have worked.

Other expectations:
- This is a two-semester project, with reading work this Summer. Working on this project in winter  is to be decided by mutual agreement, and availability of other opportunities to the student.
- The student is encouraged to be involved in telescope operations and observation.
- The student is encouraged to be involved in nightly observations during transient follow-up
- The student is encouraged to participate in optical follow-up studies of Gravitational Wave sources (EMGW events).","8 hours/week, 3 weekly meetings","https://arxiv.org/abs/2306.16519 -  Astreaks: Astrometry of NEOs with trailed background stars
or
First three modules of GROWTH Astronomy School 2020 - Python Basics, Image Data Reduction, UV, Optical and IR Photometry.  (https://www.growth.caltech.edu/growth-astro-school-2020-resources.html)","Write a 1-page summary of the paper, focusing on how we can find the exact coordinates of an asteroid in the sky from ""streaked"" images.
OR
Complete the first 3 GROWTH modules (we will check your understanding in an interview)",undefined
Physics,Finding transients in GROWTH-India Telescope data,Professor: Varun Bhalerao,UID: PH07,"The project aims to develop and improve the image subtraction and source identification (vetting) pipelines for the GROWTH-India Telescope. Students will be responsible for testing and enhancing the image subtraction program to ensure its robustness with more complex data. Regarding vetting, students will work on both analytical and machine learning (ML)--based pipelines for distinguishing between real sources and false positives. This project involves creating datasets for the ML pipeline, injecting real sources, conducting human scans, and comprehensive testing. The pipeline will eventually be integrated into the GIT system, facilitating various transient searches such as identifying novae in the M31 galaxy, discovering Electromagnetic counterparts of Gravitational Waves (EMGW), and detecting Gamma-ray burst afterglows, among others. Good students will have the unique opportunity to work closely with a Caltech professor and other international collaborators for this project, and a chance to co-author refereed publications.",2,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",6 and above,"- Astrophysics: Basic knowledge of astronomy, including telescope basics and coordinate systems (For instance: active amateur astronomer / PH556 course / Astronomy olympiad camp etc)
- Programming: Familiarity with Linux. Expertise in Python including numpy, healpy, astropy, scipy. Basic understanding of ML. 
- Familiar to work with GitHub
- Other: Basic statistics",2 semeters,"- Astrophysics: Students will have an understanding of various kinds of transients like Supernovae, Kilonovae, Gamma-ray Bursts, Fast Blue Optical Transients etc.
- Learn data processing of astronomical images at an advanced level.
- Coding: advanced astropy and numpy; better coding practices including version control, understanding code integration into larger projects
- Have first-hand experience and a better understanding of real-time observations from telescopes.
- Other: how to work with a large international team across multiple time zones
- Students will have the opportunity to lead and/or be a part of publications (GCNs, ATels,  Astronote, MPECs, refereed publications) on which they have worked.

Other expectations:
- This is a two-semester project, with reading work this Summer. Working on this project in winter is to be decided by mutual agreement, and availability of other opportunities to the student.
- The student is encouraged to be involved in telescope operations and observation. 
- The student is encouraged to be involved in nightly observations during transient follow-up","8 hours/week, 3 weekly meetings","First three modules of GROWTH Astronomy School 2020 - Python Basics, Image Data Reduction, UV, Optical and IR Photometry.   (https://www.growth.caltech.edu/growth-astro-school-2020-resources.html)",Complete the first 3 GROWTH modules (we will check your understanding in an interview),undefined
Physics,Autonomous Planning and Scheduling for an Integral Field Unit Astronomical Spectrograph,Professor: Varun Bhalerao,UID: PH08,"The student will develop autonomous scheduling and planning algorithms for the SED Machine v2, an integral field unit spectrograph on the robotic 84-inch Kitt Peak Telescope. The student will join an international multidisciplinary team of scientists and engineers and contribute to an open-source Python package for astronomy operations research. The student will master mixed integer programming and learn cutting edge mathematical optimization solvers such as Gurobi and CPLEX. Depending on the student’s interests, they will have opportunities to develop interactive web applications, learn high performance computing skills on NASA supercomputers, and/or visit the observatory for software pipeline commissioning.

Scope of work:
Development of M4opt package, with opportunities to applications in current observations",1,"Students entering their 3rd year, Students entering their 4th/5th year",6 and above,"Please state explicitly in your SOP which of the requirements you satisfy, and how you propose to catch up to the rest.
- Department - any
- Basic astronomy background (Kritiika lectures / KSP / KCAP / popular science level)
- Python coding (numpy, scipy, matplotlib. Astropy preferred.)
- Comfortable with Linux and command line
- Data analysis (fitting curves, extracting parameters, summarising results)",2 semesters,"- Developing an understanding of telescope operations and scheduling for searching for electromagnetic counterparts to gravitational wave sources
- Participation in the international GROWTH collaboration
- Opportunities to participate in GROWTH-India Telescope observations and operations. Good students will get the opportunity to co-author refereed publications.
- Training in good coding practices and software development from some of the best people around the world

Other expectations:
This is a two-semester project, with reading work this July. Working on this project in December is to be decided by mutual agreement, and availability of other opportunities to the student. The student will be exposed to multiple analyses and will have opportunities to become a co-author on refereed publications.","8 hours/week, 3 weekly meetings",An Enhanced Method for Scheduling Observations of Large Sky Error Regions for Finding Optical Counterparts to Transients    https://arxiv.org/abs/1603.01689,Candidates should read the paper above and summarize it in their own words.,undefined
School of Management (SOM),Applications of Business Analytics,Professor: Usha Ananthakumar,UID: SOM01,This project will involve reading and solving few case studies pertaining to different domains of Business Analytics.,1,"Students entering their 3rd year, Students entering their 4th/5th year",More than 8.25,"1. Course on Machine Learning covering Regression, Logistic Regression, Decision Trees, Neural Networks etc.,  2. Expertise in R/Python",Two months,Will learn to apply appropriate techniques to solve problems in Business domain.  Expectation: Being sincere and hard working.,10 hours in a week and meeting once in a week.,,,undefined
School of Management (SOM),Empirical data analysis,Professor: T T Niranjan,UID: SOM02,"We are seeking a motivated intern to join our team and assist with data analysis projects. The ideal candidate will have a good understanding of statistics. 

Responsibilities include:

Assist in collecting, cleaning, and organizing large datasets for analysis.
Conduct statistical analysis using Stata to derive insights and trends from panel data
Prepare clear and concise reports summarizing analysis findings.
Assist with data visualization tasks as needed.",2,"Students entering their 2nd year, Students entering their 3rd year",8 and above,"Proficiency in Stata software and a strong understanding of statistical methods
Familiarity with panel data analysis techniques is highly desirable",Extendable as per mutual interest,This internship will provide hands-on experience in conducting panel data analysis and contributing to ongoing research initiatives.,"20 hours per week during vacation, 10 hours per week during semester if we extend it","https://onlinelibrary.wiley.com/doi/abs/10.1111/poms.14027 
https://pubsonline.informs.org/do/10.1287/orms.2024.01.11/full/
https://hbr.org/2022/10/inflating-orders-can-worsen-supply-chain-uncertainty
https://niranjangroup.weebly.com/people.html","Prepare a 1-3 page research agenda to extend this research with a focus on application in sustainability. For example, the outline of a grant proposal that would attract industry sponsorship. This is to gauge your creativity and writing skills. 

The actual work may be in this or another project depending on skills and interest demonstrated. Take a look at our current group member's work","While not a strict requirement, in my experience the most successful internships involved long-term interest, for example, 6 months. Some have been working for over 2 years"
Systems and Control Engineering (SYSCON),QuITO V.3: Numerical optimal control under path constraints,Professor: Debasish Chatterjee,UID: SYS01,"This project concerns the development of release 3 of the QuITO suite of tools dedicated to the development of numerical methods for solving optimal control problems under paths constraints. The latest version V.2 was released on github recently; an overview of the suite of tools may be found here: https://www.sc.iitb.ac.in/~chatterjee/master/homepage/quito.html.

Students are encouraged to take a look at the accompanying document  https://arxiv.org/abs/2404.13681 for an overview of the theoretical underpinnings of the toolset as it stands currently. Version 3 will target subtle refinements of V.2 on the theoretical side by widening the class of problems, including tools from geometric integration, and including distributed parameter systems within its ambit.

QuITO is backed by solid theory set down across several publications; a previous release of QuITO has been patented, and more patent applications are in the process of being filed. Applications on QuITO include all applications involving trajectory generation and planning under constraints, such as path planning in challenging and hazardous environments, satellite re-entry problems, guidance and navigation.

Students are expected to take a deep dive into numerical methods of optimal control with a balanced emphasis on theory and implementation. QuITO encompasses a new and unusual set of tools derived from several areas of engineering and mathematics, and there is tremendous scope for introducing yet newer and nuanced methods in the problems. One can take up the topic as a summer project and continue for 1 - 2 years.",4,"Students entering their 3rd year, Students entering their 4th/5th year",8 and above,Curiosity and seriousness,"3 months, extendable to 1-2 years.","Publications in the top journals and conferences in control and dynamical systems, and/or  patents. 
Only serious students may apply.",10 hr per week during the summer; weekly meetings (online if needed).,https://www.sc.iitb.ac.in/~chatterjee/master/homepage/quito.html and the articles indicated therein.,Please study https://arxiv.org/abs/2404.13681 and try to understand the problems before the interview.,undefined
Systems and Control Engineering (SYSCON),Anomaly detection via signatures,Professor: Debasish Chatterjee,UID: SYS02,"Anomalies occur in distributed networked systems when components break down naturally or change properties over time, or when adversaries inject malicious inputs to damage the system. We will focus on adversarial attacks.

The most clever attacks are the hardest to detect: In networked systems such attacks may breach the cyber layer and introduce software in the physical layer that lurk in the system, clone itself and communicate between the clones, learn about the network over a long time, and act only sporadically to damage the system. The Stuxnet attack in the first half of the preceding decade is a case in point. It is crucial to detect such adversarial attacks quickly enough before the system is irrecoverably compromised.

This project is about the development of a technique based on an analytical property of dynamical systems called the signature, to the detection of difficult-to-detect anomalies in networked systems. Our thrust will be to develop new and reliable methods of anomaly detection while being numerically viable. Similar techniques for early detection of the onset of neurodegenerative diseases in humans can be developed simultaneously.

Students will be expected to study and master the mathematical technique, design algorithms and develop the corresponding software.",3,"Students entering their 2nd year, Students entering their 3rd year, Students entering their 4th/5th year",8 and above,Curiosity and seriousness.,3 months; extendable to 1-3 years,"Exposure to the very interesting and deep theoretical apparatus of signatures and bringing it to the forefront of anomaly detection; as a consequence, publications in top journals and conferences of ML and cybernetics.",20 hr per week during the summer and weekly meetings (online if necessary),Restricted access; send me an email to discuss.,Material will be provided at the start of the project.,undefined
